联系，联想,associate with
说明,account for
区分（两者）,distinguish from
集中于,concentrate on
描写单个角色,portray a single character
文学形式,form of literature
赋予,endow with
课堂讨论,classroom discussion
历史事件,historical events
目标是,aim at
使意识清晰,sharpen awareness
提供对于...的洞察,provide glimpse of
洞悉,insight towrod
弥合裂痕,bridge the gaps
形成他自己的解释,form his own interpretation
对...心怀愤恨,bitter about
重新回顾日常生活的一个小片段,relive a small episode of daily life
华盛顿广场,Washington Square
第五大街,Fifth Avenue
将注意力集中于,focus attention to
一个单独的事件,a single incident
引人深思的,thought-provoking
情感潜流,emotional undercurrent
扮演角色,play a role
依赖，依靠,depend on
极为老于世故的作者,a highly sophisticated author
天真的人,a naive person
宗教信仰,religious beliefs
社会和经济阶层,social and economic classes
很少联系,have little contact with
给...留下深刻印象,leave a deep impression on
